Entry	Protein names	Gene names	Gene names  (ordered locus )	Gene names  (primary )	Status
P69831	PTS system galactitol-specific EIIC component (EIIC-Gat) (Galactitol permease IIC component)	gatC b2092 JW2076	b2092 JW2076	gatC	reviewed
P24251	Sigma factor-binding protein Crl (Curlin genes transcriptional activatory protein)	crl b0240 JW0230	b0240 JW0230	crl	reviewed
P77196	Putative outer membrane usher protein YfcU	yfcU yfcT b4661 JW2334/JW2335 b2337 b2338	b4661 JW2334/JW2335	yfcU	reviewed
P31452	Putative permease IIC component GlvC (PTS system EIIC component)	glvC b3683 JW3660	b3683 JW3660	glvC	reviewed
P0ACL0	Glycerol-3-phosphate regulon repressor	glpR b3423 JW3386	b3423 JW3386	glpR	reviewed
P33369	Putative multidrug resistance outer membrane protein MdtQ	mdtQ yohG yohH b2139 JW5838/JW5358 b2138	b2139 JW5838/JW5358	mdtQ	reviewed
P69789	Phosphotransferase enzyme IIB component GlvB (EC 2.7.1.-) (PTS system EIIB component)	glvB glvC b3682 JW3659	b3682 JW3659	glvB	reviewed
P39347	Putative protein IntB (Int(P4)) (Putative prophage P4 integrase)	intB b4271 JW4227	b4271 JW4227	intB	reviewed
P75681	Putative ferric transport system permease-like protein AfuB	afuB fbpB b0263 JW0255	b0263 JW0255	afuB	reviewed
P76071	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363	b1370 JW1363	insH5	reviewed
P77228	Putative inner membrane metabolite transport protein YdfJ	ydfJ b4600 JW1536 b1543	b4600 JW1536	ydfJ	reviewed
P76168	Putative defective protein IntQ (Putative lambdoid prophage Qin defective integrase)	intQ b1579 JW1571	b1579 JW1571	intQ	reviewed
P77481	Putative uncharacterized ABC transporter ATP-binding protein YcjV	ycjV ymjB b4524 JW1311/JW5203 b1318	b4524 JW1311/JW5203	ycjV	reviewed
P45766	Putative amino-acid ABC transporter-binding protein YhdW	yhdW b3268 JW3236	b3268 JW3236	yhdW	reviewed
P77354	Putative inner membrane protein YafU	yafU b0218 JW0207	b0218 JW0207	yafU	reviewed
P76655	Putative outer membrane usher protein YqiG	yqiG b3046 JW5507	b3046 JW5507	yqiG	reviewed
Q46791	Putative uncharacterized response regulatory protein YgeK	ygeK ygeL b2856 JW5458/JW2824 b2855	b2856 JW5458/JW2824	ygeK	reviewed
P77551	Putative endopeptidase RzpR (EC 3.4.-.-) (Putative Rz endopeptidase from lambdoid prophage Rac)	rzpR ydaX b1362 JW5212	b1362 JW5212	rzpR	reviewed
Q46834	Putative type II secretion system C-type protein YghF (Putative general secretion pathway C-type protein YghF)	yghF b2970 JW5484	b2970 JW5484	yghF	reviewed
P0CF60	Putative transposase InsD for insertion element IS2E	insD8 b1578 JW1570	b1578 JW1570	insD8	reviewed
P42906	Putative N-acetylgalactosamine-6-phosphate deacetylase (Aga-6-P deacetylase) (EC 3.5.1.-)	agaA b3135 JW5527	b3135 JW5527	agaA	reviewed
